,Residents,total_median,quartile_from,quartile_to,women_median,women_quartile_from,woman_quartile_to,men_median,men_quartile_from,man_quartile_to
1, TOTAL ,5647,4592,6973,5092,4146,6474,5915,4955,7263
3, Swiss,5741,4661,7033,5198,4253,6393,6118,5101,7472
5, Foreigners,5525,4487,6877,4875,3988,6691,5701,4821,6942
7, Short-term permit (L),[4 925] ,[3 843] ,[6 112] ,4333,3817,5677,[5 253] ,[3 899] ,[6 153] 
8, Temporary residence permit (B) ,5443,4282,7155,5159,3905,7157,5530,4550,7155
9, Permanent residence permit (C) ,5254,4360,6291,4436,3909,5566,5563,4826,6479
10, Cross-border worker (G) ,5947,4883,7634,5796,4427,7740,5978,5050,7583
11, Other,5235,4046,7083,[5 020] ,[3 780] ,[6 929] ,[5 279] ,[4 122] ,[7 141] 
