,Residents,total_median,quartile_from,quartile_to,women_median,women_quartile_from,woman_quartile_to,men_median,men_quartile_from,man_quartile_to
1, TOTAL ,5200,4333.0,6272.0,4658.0,3978.0,5720,5535.0,4703.0,6592.0
3, Swiss,5339,4429.0,6440.0,4808.0,4080.0,5873,5691.0,4833.0,6826.0
5, Foreigners,4886,4075.0,5819.0,4258.0,3714.0,5097,5200.0,4445.0,6053.0
7, Short-term permit (L),3724,3022.0,5010.0,3302.0,3009.0,3922,4331.0,3023.0,5200.0
8, Temporary residence permit (B) ,4596,3792.0,5649.0,3997.0,3468.0,5062,4915.0,4127.0,5839.0
9, Permanent residence permit (C) ,4989,4223.0,5876.0,4334.0,3830.0,5092,5317.0,4638.0,6109.0
10, Cross-border worker (G) ,5036,4311.0,5924.0,4435.0,3869.0,5133,5378.0,4691.0,6192.0
11, Other,5110,4351.0,6128.0,4766.0,4109.0,5850,5285.0,4501.0,6225.0
