,Residents,total_median,quartile_from,quartile_to,women_median,women_quartile_from,woman_quartile_to,men_median,men_quartile_from,man_quartile_to
1, TOTAL ,5143,4316.0,6116.0,4524.0,3902.0,5525,5431.0,4681.0,6366.0
3, Swiss,5255,4433.0,6297.0,4702.0,4081.0,5695,5608.0,4787.0,6610.0
5, Foreigners,4942,4083.0,5808.0,4138.0,3536.0,5000,5238.0,4537.0,5997.0
7, Short-term permit (L),4106,3481.0,5126.0,3515.0,3111.0,4078,4675.0,3714.0,5356.0
8, Temporary residence permit (B) ,4754,3968.0,5687.0,4063.0,3447.0,5051,5055.0,4333.0,5802.0
9, Permanent residence permit (C) ,4977,4171.0,5767.0,4138.0,3616.0,4829,5315.0,4694.0,5998.0
10, Cross-border worker (G) ,5449,4650.0,6487.0,5017.0,4127.0,6106,5571.0,4799.0,6578.0
11, Other,4673,3898.0,5753.0,4439.0,3958.0,5366,4978.0,3821.0,5932.0
