,Commune,Total,1HH,2HH,3HH,4HH,5HH,6HH
2,Aeugst am Albis,1904.0,213.0,542.0,345.0,496.0,220.0,88.0
3,Affoltern am Albis,10923.0,1518.0,3160.0,1803.0,2540.0,1130.0,772.0
4,Bonstetten,5137.0,573.0,1582.0,915.0,1488.0,445.0,134.0
5,Hausen am Albis,3332.0,345.0,984.0,531.0,948.0,385.0,139.0
6,Hedingen,3441.0,355.0,1022.0,579.0,1000.0,360.0,125.0
7,Kappel am Albis,956.0,110.0,260.0,129.0,216.0,175.0,66.0
8,Knonau,1882.0,187.0,540.0,351.0,492.0,220.0,92.0
9,Maschwanden,633.0,86.0,160.0,108.0,148.0,85.0,46.0
10,Mettmenstetten,4288.0,402.0,1212.0,753.0,1292.0,435.0,194.0
11,Obfelden,4692.0,516.0,1320.0,732.0,1308.0,615.0,201.0
12,Ottenbach,2429.0,249.0,782.0,432.0,676.0,195.0,95.0
13,Rifferswil,933.0,93.0,234.0,126.0,288.0,125.0,67.0
14,Stallikon,3269.0,353.0,1132.0,630.0,812.0,245.0,97.0
15,Wettswil am Albis,4561.0,494.0,1470.0,894.0,1172.0,405.0,126.0
16,Adlikon,570.0,51.0,172.0,99.0,108.0,90.0,50.0
17,Benken (ZH),807.0,89.0,236.0,150.0,184.0,95.0,53.0
18,Berg am Irchel,583.0,55.0,204.0,108.0,140.0,45.0,31.0
19,Buch am Irchel,890.0,61.0,262.0,120.0,240.0,105.0,102.0
20,Dachsen,1935.0,164.0,558.0,261.0,596.0,290.0,66.0
21,Dorf,624.0,44.0,174.0,102.0,176.0,80.0,48.0
22,Feuerthalen,3422.0,504.0,1074.0,618.0,796.0,340.0,90.0
23,Flaach,1232.0,103.0,358.0,225.0,348.0,160.0,38.0
24,Flurlingen,1420.0,178.0,442.0,252.0,360.0,120.0,68.0
25,Andelfingen,1956.0,236.0,586.0,321.0,484.0,225.0,104.0
26,Henggart,2233.0,205.0,668.0,366.0,592.0,320.0,82.0
27,Humlikon,470.0,26.0,140.0,72.0,156.0,40.0,36.0
28,Kleinandelfingen,2003.0,216.0,604.0,366.0,540.0,215.0,62.0
29,Laufen-Uhwiesen,1524.0,171.0,482.0,276.0,356.0,180.0,59.0
30,Marthalen,1956.0,215.0,598.0,378.0,464.0,220.0,81.0
31,Oberstammheim,1092.0,125.0,336.0,147.0,272.0,155.0,57.0
32,Ossingen,1327.0,159.0,366.0,210.0,324.0,200.0,68.0
33,Rheinau,1294.0,201.0,364.0,213.0,340.0,120.0,56.0
34,Thalheim an der Thur,863.0,86.0,260.0,129.0,204.0,115.0,69.0
35,Trüllikon,990.0,118.0,350.0,165.0,168.0,140.0,49.0
36,Truttikon,459.0,34.0,100.0,108.0,108.0,65.0,44.0
37,Unterstammheim,875.0,77.0,250.0,117.0,192.0,145.0,94.0
38,Volken,302.0,34.0,86.0,30.0,80.0,60.0,12.0
39,Waltalingen,684.0,47.0,194.0,141.0,192.0,85.0,25.0
40,Bachenbülach,3959.0,467.0,1280.0,729.0,984.0,375.0,124.0
41,Bassersdorf,11078.0,1301.0,3272.0,2055.0,2920.0,905.0,625.0
42,Bülach,17216.0,2538.0,5250.0,3120.0,4040.0,1470.0,798.0
43,Dietlikon,7014.0,1048.0,2272.0,1296.0,1524.0,530.0,344.0
44,Eglisau,4443.0,461.0,1324.0,777.0,1132.0,490.0,259.0
45,Embrach,8858.0,989.0,2400.0,1659.0,2248.0,1005.0,557.0
46,Freienstein-Teufen,2247.0,207.0,724.0,375.0,580.0,285.0,76.0
47,Glattfelden,4392.0,540.0,1232.0,822.0,1116.0,430.0,252.0
48,Hochfelden,1999.0,183.0,560.0,339.0,636.0,185.0,96.0
49,Höri,2428.0,272.0,594.0,468.0,668.0,260.0,166.0
50,Hüntwangen,957.0,85.0,310.0,159.0,264.0,95.0,44.0
51,Kloten,17985.0,3233.0,5574.0,3384.0,3560.0,1555.0,679.0
52,Lufingen,1819.0,149.0,480.0,354.0,600.0,190.0,46.0
53,Nürensdorf,5187.0,646.0,1872.0,879.0,1248.0,380.0,162.0
54,Oberembrach,975.0,114.0,358.0,150.0,216.0,100.0,37.0
55,Opfikon,15731.0,2769.0,4472.0,2913.0,3060.0,1485.0,1032.0
56,Rafz,4033.0,421.0,1208.0,642.0,1052.0,480.0,230.0
57,Rorbas,2458.0,281.0,614.0,480.0,652.0,285.0,146.0
58,Wallisellen,13768.0,2252.0,4470.0,2433.0,2768.0,1220.0,625.0
59,Wasterkingen,546.0,58.0,196.0,93.0,128.0,40.0,31.0
60,Wil (ZH),1286.0,133.0,374.0,249.0,316.0,170.0,44.0
61,Winkel,3883.0,516.0,1366.0,705.0,872.0,300.0,124.0
62,Bachs,562.0,52.0,154.0,111.0,132.0,75.0,38.0
63,Boppelsen,1285.0,117.0,440.0,216.0,372.0,95.0,45.0
64,Buchs (ZH),5619.0,701.0,1570.0,1050.0,1388.0,600.0,310.0
65,Dällikon,3579.0,477.0,1054.0,666.0,948.0,265.0,169.0
66,Dänikon,1892.0,173.0,520.0,420.0,512.0,205.0,62.0
67,Dielsdorf,5726.0,808.0,1826.0,1023.0,1348.0,480.0,241.0
68,Hüttikon,633.0,57.0,218.0,138.0,140.0,55.0,25.0
69,Neerach,2905.0,312.0,1158.0,531.0,628.0,215.0,61.0
70,Niederglatt,4501.0,564.0,1352.0,813.0,1096.0,450.0,226.0
71,Niederhasli,8552.0,1034.0,2464.0,1608.0,2244.0,905.0,297.0
72,Niederweningen,2701.0,213.0,684.0,534.0,784.0,350.0,136.0
73,Oberglatt,5928.0,909.0,1600.0,933.0,1364.0,720.0,402.0
74,Oberweningen,1715.0,158.0,490.0,402.0,424.0,135.0,106.0
