,Commune,Total,1HH,2HH,3HH,4HH,5HH,6HH
75,Otelfingen,2566.0,240.0,746.0,597.0,684.0,205.0,94.0
76,Regensberg,498.0,85.0,156.0,75.0,120.0,50.0,12.0
77,Regensdorf,16622.0,2347.0,5132.0,3003.0,3716.0,1645.0,779.0
78,Rümlang,6810.0,1030.0,1978.0,1320.0,1536.0,575.0,371.0
79,Schleinikon,721.0,76.0,208.0,105.0,232.0,70.0,30.0
80,Schöfflisdorf,1344.0,152.0,426.0,264.0,348.0,105.0,49.0
81,Stadel,1966.0,224.0,578.0,363.0,516.0,180.0,105.0
82,Steinmaur,3199.0,443.0,1124.0,525.0,716.0,275.0,116.0
83,Weiach,984.0,102.0,328.0,189.0,216.0,90.0,59.0
84,Bäretswil,4827.0,475.0,1516.0,858.0,1104.0,555.0,319.0
85,Bubikon,6660.0,615.0,1976.0,1131.0,1772.0,785.0,381.0
86,Dürnten,6936.0,749.0,1882.0,1110.0,1768.0,855.0,572.0
87,Fischenthal,2267.0,215.0,636.0,366.0,580.0,310.0,160.0
88,Gossau (ZH),9547.0,1053.0,2974.0,1689.0,2260.0,1090.0,481.0
89,Grüningen,3131.0,372.0,970.0,531.0,828.0,310.0,120.0
90,Hinwil,10492.0,1375.0,3258.0,1917.0,2300.0,1060.0,582.0
91,Rüti (ZH),11551.0,1716.0,3288.0,1995.0,2620.0,1210.0,722.0
92,Seegräben,1279.0,122.0,352.0,252.0,304.0,175.0,74.0
93,Wald (ZH),8675.0,1339.0,2232.0,1578.0,2112.0,895.0,519.0
94,Wetzikon (ZH),22152.0,3199.0,6696.0,3834.0,4996.0,2155.0,1272.0
95,Adliswil,17215.0,3022.0,5340.0,3186.0,3644.0,1355.0,668.0
96,Hirzel,2087.0,207.0,606.0,291.0,592.0,285.0,106.0
97,Horgen,18719.0,2722.0,5820.0,3336.0,4340.0,1695.0,806.0
98,Hütten,882.0,96.0,198.0,114.0,268.0,145.0,61.0
99,Kilchberg (ZH),7456.0,1482.0,2270.0,1344.0,1484.0,660.0,216.0
100,Langnau am Albis,7143.0,1029.0,2242.0,1314.0,1760.0,600.0,198.0
101,Oberrieden,4897.0,787.0,1622.0,786.0,1216.0,395.0,91.0
102,Richterswil,12411.0,1678.0,3770.0,2346.0,3136.0,1040.0,441.0
103,Rüschlikon,5234.0,769.0,1576.0,969.0,1256.0,480.0,184.0
104,Schönenberg (ZH),1861.0,171.0,594.0,321.0,416.0,245.0,114.0
105,Thalwil,17024.0,3052.0,5474.0,3063.0,3820.0,1230.0,385.0
106,Wädenswil,20541.0,3182.0,6388.0,3660.0,4476.0,1925.0,910.0
107,Erlenbach (ZH),5179.0,687.0,1480.0,987.0,1304.0,535.0,186.0
108,Herrliberg,5982.0,804.0,1804.0,1011.0,1548.0,645.0,170.0
109,Hombrechtikon,7907.0,988.0,2288.0,1413.0,2064.0,785.0,369.0
110,Küsnacht (ZH),13259.0,2248.0,4072.0,2322.0,2896.0,1205.0,516.0
111,Männedorf,10172.0,1453.0,3112.0,1776.0,2784.0,855.0,192.0
112,Meilen,12447.0,1867.0,3968.0,2250.0,2868.0,1040.0,454.0
113,Oetwil am See,4437.0,637.0,1212.0,708.0,1168.0,485.0,227.0
114,Stäfa,13607.0,2001.0,4588.0,2178.0,3000.0,1275.0,565.0
115,Uetikon am See,5761.0,682.0,1706.0,1032.0,1560.0,535.0,246.0
116,Zumikon,5037.0,661.0,1446.0,876.0,1268.0,520.0,266.0
117,Zollikon,11799.0,2121.0,3676.0,2115.0,2600.0,940.0,347.0
119,Fehraltorf,5824.0,664.0,1780.0,1059.0,1568.0,515.0,238.0
120,Hittnau,3440.0,335.0,922.0,597.0,936.0,450.0,200.0
121,Illnau-Effretikon,15759.0,2652.0,5128.0,2520.0,3440.0,1260.0,759.0
122,Kyburg,426.0,46.0,124.0,93.0,116.0,20.0,27.0
123,Lindau,5067.0,478.0,1446.0,1005.0,1384.0,530.0,224.0
124,Pfäffikon,10568.0,1477.0,3378.0,1734.0,2476.0,980.0,523.0
125,Russikon,4069.0,387.0,1190.0,681.0,1140.0,445.0,226.0
126,Sternenberg,335.0,42.0,114.0,45.0,60.0,30.0,44.0
127,Weisslingen,3179.0,281.0,920.0,606.0,868.0,370.0,134.0
128,Wila,1876.0,248.0,552.0,330.0,384.0,220.0,142.0
129,Wildberg,958.0,91.0,254.0,180.0,244.0,115.0,74.0
130,Dübendorf,24448.0,4103.0,7194.0,4434.0,5180.0,2040.0,1497.0
131,Egg,8108.0,1032.0,2432.0,1467.0,2144.0,755.0,278.0
132,Fällanden,7997.0,1117.0,2588.0,1560.0,1792.0,685.0,255.0
133,Greifensee,5052.0,658.0,1654.0,972.0,1096.0,565.0,107.0
134,Maur,9267.0,1196.0,2772.0,1689.0,2424.0,865.0,321.0
135,Mönchaltorf,3383.0,434.0,1086.0,594.0,844.0,270.0,155.0
136,Schwerzenbach,4481.0,660.0,1398.0,816.0,1100.0,365.0,142.0
137,Uster,32135.0,4870.0,9932.0,5724.0,7404.0,2925.0,1280.0
138,Volketswil,17401.0,1979.0,5116.0,3315.0,4304.0,1645.0,1042.0
139,Wangen-Brüttisellen,7522.0,892.0,2078.0,1527.0,2000.0,725.0,300.0
140,Altikon,621.0,56.0,212.0,108.0,140.0,75.0,30.0
141,Bertschikon,1042.0,79.0,308.0,168.0,332.0,130.0,25.0
142,Brütten,1928.0,215.0,666.0,330.0,464.0,185.0,68.0
143,Dägerlen,970.0,74.0,266.0,153.0,260.0,155.0,62.0
144,Dättlikon,745.0,59.0,202.0,153.0,188.0,110.0,33.0
145,Dinhard,1413.0,124.0,456.0,222.0,356.0,180.0,75.0
146,Elgg,3984.0,557.0,1258.0,648.0,868.0,380.0,273.0
147,Ellikon an der Thur,865.0,63.0,222.0,177.0,236.0,100.0,67.0
148,Elsau,3342.0,335.0,1040.0,597.0,868.0,315.0,187.0
149,Hagenbuch,1072.0,116.0,336.0,216.0,236.0,105.0,63.0
150,Hettlingen,2987.0,250.0,770.0,438.0,936.0,445.0,148.0
151,Hofstetten (ZH),462.0,36.0,108.0,84.0,100.0,90.0,44.0
152,Neftenbach,5270.0,538.0,1458.0,1038.0,1436.0,545.0,255.0
153,Pfungen,3280.0,422.0,1006.0,600.0,688.0,355.0,209.0
154,Rickenbach (ZH),2511.0,250.0,746.0,471.0,680.0,260.0,104.0
155,Schlatt (ZH),733.0,57.0,190.0,135.0,176.0,105.0,70.0
156,Seuzach,7015.0,882.0,2366.0,1212.0,1684.0,585.0,286.0
157,Turbenthal,4201.0,430.0,1202.0,738.0,1004.0,470.0,357.0
158,Wiesendangen,4833.0,446.0,1496.0,771.0,1392.0,565.0,163.0
159,Winterthur,100590.0,17005.0,29748.0,17340.0,21336.0,9430.0,5731.0
160,Zell (ZH),5304.0,644.0,1578.0,891.0,1320.0,585.0,286.0
161,Aesch (ZH),1075.0,149.0,362.0,156.0,272.0,100.0,36.0
162,Birmensdorf (ZH),5879.0,862.0,2004.0,972.0,1364.0,450.0,227.0
163,Dietikon,23736.0,3726.0,6850.0,4245.0,5008.0,2390.0,1517.0
164,Geroldswil,4645.0,654.0,1480.0,867.0,1100.0,360.0,184.0
165,Oberengstringen,6262.0,1114.0,2102.0,1083.0,1328.0,465.0,170.0
166,Oetwil an der Limmat,2292.0,383.0,826.0,369.0,520.0,130.0,64.0
167,Schlieren,16205.0,2595.0,4442.0,3000.0,3400.0,1530.0,1238.0
168,Uitikon,3897.0,483.0,1348.0,663.0,988.0,295.0,120.0
169,Unterengstringen,3299.0,488.0,1194.0,513.0,680.0,280.0,144.0
170,Urdorf,9095.0,1499.0,2956.0,1602.0,1928.0,770.0,340.0
171,Weiningen (ZH),4210.0,550.0,1130.0,810.0,1052.0,400.0,268.0
174,Aarberg,4013.0,633.0,1280.0,639.0,968.0,400.0,93.0
175,Bargen (BE),982.0,117.0,246.0,171.0,296.0,100.0,52.0
176,Grossaffoltern,2747.0,306.0,888.0,477.0,688.0,260.0,128.0
177,Kallnach,1545.0,176.0,476.0,243.0,424.0,165.0,61.0
178,Kappelen,1283.0,155.0,334.0,267.0,380.0,120.0,27.0
179,Lyss,13746.0,2186.0,4358.0,2370.0,3440.0,1055.0,337.0
180,Meikirch,2343.0,282.0,828.0,405.0,524.0,250.0,54.0
181,Niederried bei Kallnach,292.0,30.0,98.0,48.0,76.0,20.0,20.0
182,Radelfingen,1172.0,144.0,404.0,180.0,260.0,120.0,64.0
183,Rapperswil (BE),2115.0,229.0,648.0,318.0,596.0,245.0,79.0
184,Schüpfen,3466.0,424.0,1096.0,609.0,864.0,345.0,128.0
185,Seedorf (BE),2923.0,370.0,1004.0,495.0,660.0,295.0,99.0
186,Aarwangen,4125.0,551.0,1210.0,681.0,952.0,435.0,296.0
187,Auswil,447.0,60.0,120.0,99.0,72.0,60.0,36.0
188,Bannwil,663.0,87.0,242.0,96.0,120.0,75.0,43.0
189,Bleienbach,655.0,97.0,230.0,114.0,160.0,30.0,24.0
190,Busswil bei Melchnau,202.0,22.0,84.0,39.0,24.0,15.0,18.0
191,Gondiswil,722.0,94.0,220.0,126.0,164.0,70.0,48.0
192,Langenthal,14761.0,2618.0,4596.0,2481.0,3160.0,1410.0,496.0
193,Lotzwil,2439.0,355.0,670.0,405.0,572.0,315.0,122.0
194,Madiswil,3067.0,403.0,902.0,450.0,728.0,365.0,219.0
195,Melchnau,1489.0,194.0,488.0,237.0,320.0,130.0,120.0
196,Obersteckholz,419.0,43.0,130.0,75.0,80.0,60.0,31.0
197,Oeschenbach,234.0,24.0,82.0,33.0,44.0,25.0,26.0
199,Roggwil (BE),3800.0,439.0,1192.0,657.0,876.0,410.0,226.0
200,Rohrbach,1396.0,208.0,464.0,231.0,272.0,170.0,51.0
201,Rohrbachgraben,413.0,31.0,112.0,45.0,80.0,95.0,50.0
202,Rütschelen,552.0,56.0,176.0,78.0,124.0,65.0,53.0
203,Schwarzhäusern,479.0,62.0,124.0,81.0,144.0,40.0,28.0
204,Thunstetten,3016.0,368.0,976.0,438.0,728.0,360.0,146.0
205,Ursenbach,880.0,107.0,252.0,138.0,196.0,120.0,67.0
206,Wynau,1475.0,211.0,462.0,282.0,296.0,85.0,139.0
208,Bolligen,5973.0,803.0,2194.0,906.0,1356.0,505.0,209.0
209,Bremgarten bei Bern,4154.0,537.0,1468.0,684.0,1036.0,330.0,99.0
210,Kirchlindach,2762.0,373.0,982.0,408.0,652.0,245.0,102.0
211,Köniz,38256.0,6768.0,12208.0,6384.0,8280.0,3265.0,1351.0
212,Muri bei Bern,12313.0,2130.0,4344.0,1950.0,2432.0,1075.0,382.0
213,Oberbalm,866.0,103.0,276.0,132.0,200.0,110.0,45.0
214,Stettlen,2864.0,363.0,968.0,522.0,700.0,210.0,101.0
215,Vechigen,4624.0,558.0,1542.0,768.0,1164.0,450.0,142.0
216,Wohlen bei Bern,8818.0,1190.0,3110.0,1452.0,1936.0,795.0,335.0
217,Zollikofen,9538.0,1658.0,3158.0,1578.0,2004.0,830.0,310.0
218,Ittigen,10710.0,1883.0,3584.0,1716.0,2252.0,920.0,355.0
219,Ostermundigen,15391.0,3209.0,5132.0,2691.0,2796.0,1125.0,438.0
220,Biel/Bienne,50039.0,9235.0,13786.0,9129.0,9020.0,4790.0,4079.0
221,Evilard,2412.0,305.0,728.0,450.0,540.0,270.0,119.0
222,Arch,1516.0,193.0,476.0,303.0,384.0,110.0,50.0
223,Büetigen,785.0,74.0,232.0,126.0,224.0,110.0,19.0
224,Büren an der Aare,3271.0,496.0,956.0,612.0,748.0,280.0,179.0
225,Diessbach bei Büren,874.0,103.0,256.0,126.0,228.0,110.0,51.0
226,Dotzigen,1367.0,130.0,432.0,258.0,396.0,110.0,41.0
227,Lengnau (BE),4526.0,729.0,1560.0,786.0,1016.0,300.0,135.0
228,Leuzigen,1176.0,142.0,392.0,174.0,312.0,95.0,61.0
229,Meienried,55.0,3.0,28.0,6.0,12.0,0.0,6.0
230,Meinisberg,1279.0,135.0,436.0,198.0,352.0,85.0,73.0
231,Oberwil bei Büren,803.0,94.0,260.0,120.0,204.0,70.0,55.0
232,Pieterlen,3578.0,539.0,1116.0,621.0,780.0,325.0,197.0
233,Rüti bei Büren,795.0,112.0,258.0,135.0,220.0,30.0,40.0
234,Wengi,611.0,72.0,182.0,81.0,188.0,70.0,18.0
235,Aefligen,1030.0,151.0,346.0,198.0,244.0,55.0,36.0
236,Alchenstorf,559.0,65.0,166.0,99.0,160.0,60.0,9.0
237,Bäriswil,1017.0,111.0,350.0,219.0,244.0,75.0,18.0
238,Burgdorf,15265.0,2845.0,4814.0,2355.0,3352.0,1340.0,559.0
239,Ersigen,1595.0,172.0,532.0,270.0,412.0,160.0,49.0
240,Hasle bei Burgdorf,3129.0,408.0,972.0,453.0,800.0,305.0,191.0
241,Heimiswil,1588.0,192.0,470.0,243.0,376.0,180.0,127.0
242,Hellsau,193.0,9.0,76.0,30.0,44.0,15.0,19.0
243,Hindelbank,2040.0,270.0,710.0,375.0,448.0,195.0,42.0
244,Höchstetten,254.0,28.0,96.0,21.0,72.0,25.0,12.0
245,Kernenried,440.0,38.0,154.0,75.0,116.0,45.0,12.0
246,Kirchberg (BE),5509.0,746.0,1852.0,906.0,1316.0,530.0,159.0
247,Koppigen,2017.0,237.0,660.0,297.0,508.0,210.0,105.0
248,Krauchthal,2301.0,251.0,692.0,405.0,616.0,245.0,92.0
249,Lyssach,1402.0,177.0,508.0,246.0,284.0,130.0,57.0
250,Mötschwil,136.0,16.0,34.0,18.0,12.0,35.0,21.0
251,Niederösch,241.0,18.0,74.0,42.0,56.0,45.0,6.0
252,Oberburg,2888.0,379.0,962.0,393.0,620.0,330.0,204.0
253,Oberösch,107.0,13.0,44.0,12.0,16.0,15.0,7.0
254,Rüdtligen-Alchenflüh,2201.0,346.0,676.0,381.0,456.0,245.0,97.0
255,Rumendingen,82.0,8.0,32.0,9.0,12.0,15.0,6.0
256,Rüti bei Lyssach,157.0,25.0,46.0,15.0,40.0,25.0,6.0
257,Willadingen,198.0,26.0,88.0,21.0,36.0,15.0,12.0
258,Wynigen,1963.0,230.0,596.0,291.0,456.0,250.0,140.0
259,Corgémont,1538.0,181.0,448.0,270.0,436.0,145.0,58.0
260,Cormoret,484.0,64.0,140.0,75.0,120.0,60.0,25.0
261,Cortébert,697.0,102.0,236.0,108.0,120.0,75.0,56.0
262,Courtelary,1275.0,142.0,310.0,249.0,372.0,125.0,77.0
263,La Ferrière,543.0,53.0,128.0,96.0,144.0,80.0,42.0
264,La Heutte,480.0,61.0,138.0,75.0,128.0,60.0,18.0
265,Mont-Tramelan,120.0,11.0,26.0,12.0,20.0,25.0,26.0
266,Orvin,1168.0,157.0,348.0,204.0,276.0,140.0,43.0
267,Péry,1339.0,211.0,402.0,204.0,324.0,105.0,93.0
268,Plagne,351.0,52.0,130.0,57.0,92.0,20.0,0.0
269,Renan (BE),817.0,114.0,220.0,132.0,220.0,85.0,46.0
270,Romont (BE),205.0,17.0,76.0,39.0,52.0,15.0,6.0
271,Saint-Imier,4715.0,1049.0,1268.0,795.0,964.0,395.0,244.0
272,Sonceboz-Sombeval,1766.0,216.0,518.0,276.0,448.0,205.0,103.0
273,Sonvilier,1172.0,187.0,292.0,204.0,260.0,145.0,84.0
274,Tramelan,4058.0,604.0,1168.0,648.0,924.0,405.0,309.0
275,Vauffelin,426.0,69.0,130.0,39.0,100.0,55.0,33.0
276,Villeret,881.0,135.0,302.0,129.0,208.0,95.0,12.0
277,Brüttelen,546.0,80.0,192.0,111.0,108.0,55.0,0.0
278,Erlach,1281.0,216.0,390.0,207.0,304.0,100.0,64.0
279,Finsterhennen,489.0,42.0,130.0,102.0,144.0,45.0,26.0
280,Gals,715.0,98.0,238.0,117.0,180.0,40.0,42.0
281,Gampelen,788.0,109.0,244.0,135.0,196.0,65.0,39.0
282,Ins,3225.0,414.0,980.0,612.0,736.0,340.0,143.0
283,Lüscherz,523.0,83.0,186.0,102.0,112.0,40.0,0.0
284,Müntschemier,1272.0,135.0,344.0,291.0,308.0,150.0,44.0
285,Siselen,584.0,79.0,176.0,102.0,164.0,35.0,28.0
286,Treiten,424.0,48.0,116.0,75.0,120.0,40.0,25.0
287,Tschugg,438.0,82.0,116.0,99.0,80.0,55.0,6.0
288,Vinelz,818.0,118.0,284.0,123.0,164.0,105.0,24.0
289,Bangerten,156.0,26.0,48.0,30.0,36.0,10.0,6.0
290,Bätterkinden,3160.0,343.0,1076.0,528.0,804.0,305.0,104.0
291,Büren zum Hof,461.0,31.0,162.0,42.0,148.0,65.0,13.0
292,Deisswil bei Münchenbuchsee,92.0,10.0,28.0,27.0,12.0,15.0,0.0
293,Diemerswil,195.0,13.0,44.0,39.0,44.0,35.0,20.0
294,Etzelkofen,287.0,43.0,110.0,54.0,60.0,20.0,0.0
295,Fraubrunnen,1795.0,184.0,558.0,285.0,552.0,165.0,51.0
296,Grafenried,972.0,117.0,292.0,159.0,260.0,85.0,59.0
297,Jegenstorf,4683.0,652.0,1588.0,855.0,1064.0,405.0,119.0
298,Iffwil,402.0,37.0,116.0,60.0,112.0,40.0,37.0
299,Limpach,341.0,51.0,96.0,81.0,68.0,45.0,0.0
300,Mattstetten,577.0,48.0,192.0,126.0,120.0,60.0,31.0
301,Moosseedorf,3540.0,488.0,1144.0,570.0,832.0,410.0,96.0
302,Mülchi,233.0,32.0,60.0,36.0,64.0,10.0,31.0
303,Münchenbuchsee,9570.0,1428.0,3034.0,1521.0,2268.0,960.0,359.0
304,Münchringen,596.0,38.0,182.0,66.0,216.0,70.0,24.0
305,Ruppoldsried,259.0,28.0,54.0,33.0,68.0,50.0,26.0
306,Schalunen,352.0,33.0,94.0,99.0,96.0,30.0,0.0
307,Scheunen,82.0,3.0,14.0,15.0,20.0,5.0,25.0
308,Urtenen-Schönbühl,5675.0,922.0,1904.0,1023.0,1276.0,480.0,70.0
309,Utzenstorf,4054.0,506.0,1334.0,675.0,1080.0,325.0,134.0
310,Wiggiswil,98.0,15.0,28.0,18.0,32.0,5.0,0.0
311,Wiler bei Utzenstorf,818.0,127.0,290.0,114.0,160.0,115.0,12.0
312,Zauggenried,303.0,40.0,68.0,69.0,96.0,5.0,25.0
313,Zielebach,325.0,34.0,132.0,60.0,72.0,20.0,7.0
314,Zuzwil (BE),572.0,44.0,212.0,81.0,156.0,60.0,19.0
315,Adelboden,3437.0,416.0,892.0,435.0,788.0,550.0,356.0
316,Aeschi bei Spiez,2054.0,305.0,560.0,300.0,500.0,235.0,154.0
317,Frutigen,6592.0,891.0,1816.0,990.0,1552.0,820.0,523.0
318,Kandergrund,799.0,102.0,272.0,117.0,192.0,85.0,31.0
319,Kandersteg,1199.0,217.0,442.0,198.0,228.0,95.0,19.0
320,Krattigen,970.0,149.0,360.0,126.0,220.0,85.0,30.0
321,Reichenbach im Kandertal,3394.0,435.0,1022.0,537.0,832.0,405.0,163.0
322,Beatenberg,1075.0,253.0,354.0,174.0,152.0,80.0,62.0
323,Bönigen,2395.0,335.0,708.0,399.0,620.0,220.0,113.0
324,Brienz (BE),2906.0,484.0,928.0,417.0,604.0,315.0,158.0
325,Brienzwiler,505.0,75.0,176.0,81.0,120.0,35.0,18.0
326,Därligen,416.0,56.0,160.0,60.0,92.0,40.0,8.0
327,Grindelwald,3719.0,720.0,1286.0,615.0,728.0,295.0,75.0
328,Gsteigwiler,415.0,64.0,108.0,90.0,84.0,50.0,19.0
329,Gündlischwand,290.0,42.0,86.0,33.0,72.0,45.0,12.0
330,Habkern,620.0,86.0,162.0,81.0,144.0,85.0,62.0
331,Hofstetten bei Brienz,551.0,56.0,178.0,102.0,96.0,75.0,44.0
332,Interlaken,5316.0,1106.0,1770.0,966.0,996.0,290.0,188.0
333,Iseltwald,414.0,71.0,134.0,63.0,92.0,35.0,19.0
334,Lauterbrunnen,2471.0,427.0,774.0,444.0,480.0,150.0,196.0
335,Leissigen,934.0,155.0,300.0,168.0,196.0,75.0,40.0
336,Lütschental,240.0,30.0,68.0,39.0,68.0,35.0,0.0
337,Matten bei Interlaken,3681.0,578.0,1154.0,711.0,856.0,230.0,152.0
338,Niederried bei Interlaken,335.0,71.0,132.0,48.0,72.0,0.0,12.0
339,Oberried am Brienzersee,464.0,93.0,168.0,72.0,100.0,25.0,6.0
340,Ringgenberg (BE),2587.0,410.0,820.0,426.0,604.0,225.0,102.0
341,Saxeten,101.0,21.0,26.0,27.0,16.0,5.0,6.0
342,Schwanden bei Brienz,586.0,97.0,228.0,72.0,104.0,70.0,15.0
343,Unterseen,5396.0,983.0,1862.0,855.0,1132.0,435.0,129.0
344,Wilderswil,2501.0,347.0,788.0,417.0,648.0,225.0,76.0
345,Arni (BE),926.0,97.0,272.0,168.0,224.0,135.0,30.0
346,Biglen,1714.0,245.0,534.0,264.0,456.0,155.0,60.0
347,Bleiken bei Oberdiessbach,390.0,43.0,94.0,42.0,92.0,95.0,24.0
348,Bowil,1332.0,166.0,396.0,159.0,348.0,180.0,83.0
349,Brenzikofen,514.0,73.0,152.0,66.0,152.0,65.0,6.0
350,Freimettigen,428.0,55.0,122.0,63.0,96.0,80.0,12.0
351,Grosshöchstetten,3185.0,374.0,1030.0,543.0,776.0,315.0,147.0
352,Häutligen,236.0,29.0,76.0,24.0,72.0,35.0,0.0
353,Herbligen,554.0,53.0,172.0,108.0,116.0,80.0,25.0
354,Kiesen,862.0,91.0,282.0,159.0,212.0,100.0,18.0
355,Konolfingen,4678.0,627.0,1492.0,780.0,968.0,575.0,236.0
356,Landiswil,621.0,67.0,192.0,78.0,128.0,105.0,51.0
357,Linden,1186.0,139.0,294.0,144.0,288.0,210.0,111.0
358,Mirchel,589.0,61.0,176.0,81.0,156.0,70.0,45.0
359,Münsingen,10653.0,1499.0,3572.0,1728.0,2572.0,910.0,372.0
360,Niederhünigen,623.0,67.0,186.0,72.0,164.0,90.0,44.0
361,Oberdiessbach,3017.0,349.0,914.0,522.0,696.0,335.0,201.0
362,Oberthal,769.0,97.0,214.0,93.0,216.0,105.0,44.0
