,Region,average rent all,household with only Swiss,hh with min 1 Swiss and 1 foreigner,household with only foreigners
0,Schweiz,1322,1300,1504,1305
1,Genferseeregion,1316,1258,1505,1343
2,Espace Mittelland,1145,1149,1302,1073
3,Nordwestschweiz,1328,1317,1489,1293
4,Zürich,1553,1517,1707,1564
5,Ostschweiz,1189,1207,1348,1103
6,Zentralschweiz,1446,1407,1650,1491
7,Tessin,1150,1156,1288,1097
