,Commune,Total,1HH,2HH,3HH,4HH,5HH,6HH
0,Switzerland,8248349,1300170,2408700,1465083,1875432,791995,406969
1,Aeugst am Albis,1969,235,548,348,544,190,104
2,Affoltern am Albis,11584,1689,3434,1935,2572,1280,674
3,Bonstetten,5418,626,1592,924,1632,485,159
4,Hausen am Albis,3547,398,1066,597,960,340,186
5,Hedingen,3672,399,1076,633,1060,335,169
6,Kappel am Albis,1103,125,306,129,296,165,82
7,Knonau,2157,230,558,378,640,230,121
8,Maschwanden,622,79,162,102,164,95,20
9,Mettmenstetten,4773,486,1450,840,1264,550,183
10,Obfelden,5081,576,1438,891,1368,610,198
11,Ottenbach,2573,294,886,438,648,225,82
12,Rifferswil,1075,117,246,186,308,175,43
13,Stallikon,3639,382,1188,633,1036,270,130
14,Wettswil am Albis,5093,536,1582,1020,1424,400,131
15,Adlikon,659,59,212,105,180,70,33
16,Benken (ZH),851,108,290,120,216,75,42
17,Berg am Irchel,566,64,234,99,112,45,12
18,Buch am Irchel,951,80,274,165,236,135,61
19,Dachsen,1973,183,584,306,572,240,88
20,Dorf,624,45,174,126,220,40,19
21,Feuerthalen,3539,535,1060,606,948,280,110
22,Flaach,1348,164,392,237,356,140,59
23,Flurlingen,1426,182,442,258,352,125,67
24,Andelfingen,2203,261,660,330,560,280,112
25,Henggart,2235,223,692,357,636,265,62
26,Humlikon,492,30,154,60,140,65,43
27,Kleinandelfingen,2043,230,650,354,540,195,74
28,Laufen-Uhwiesen,1631,195,558,264,388,180,46
29,Marthalen,1916,253,604,333,444,220,62
30,Oberstammheim,1180,147,404,147,228,175,79
31,Ossingen,1435,166,454,264,316,165,70
32,Rheinau,1275,220,408,225,252,125,45
33,Thalheim an der Thur,916,101,282,174,180,100,79
34,Trüllikon,1059,135,396,123,208,125,72
35,Truttikon,465,39,126,81,112,70,37
36,Unterstammheim,894,90,228,168,172,140,96
37,Volken,336,38,102,48,72,45,31
38,Waltalingen,651,63,216,120,152,75,25
39,Bachenbülach,4040,519,1274,720,948,425,154
40,Bassersdorf,11504,1439,3508,1974,3136,905,542
