,Unnamed: 0,Unnamed: 1,0–19,20–64,65 and over,Male,Female,Swiss,Foreigner,Single,Married,Widowed,Divorced,Unmarried,In a registered partnership,Partnership dissolved,Urban core,Area influenced,Area beyond
0,,,,,,,,,,,,,,,,,area,by urban cores,urban core
1,,,,,,,,,,,,,,,,,,,influence
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,Total,8139631.0,1653511.0,5053373.0,1432747.0,4022091.0,4117540.0,6202184.0,1937447.0,3537837.0,3527929.0,407667.0,652608.0,528,12174.0,888,5106473,1767144,1266014
5,,,,,,,,,,,,,,,,,,,
6,Lake Geneva region,1545817.0,333823.0,954579.0,257415.0,755704.0,790113.0,1037401.0,508416.0,688681.0,650724.0,73017.0,130406.0,134,2658.0,197,1063222,323493,159102
7,Vaud,749373.0,167283.0,461284.0,120806.0,366766.0,382607.0,503493.0,245880.0,336758.0,314154.0,34782.0,62238.0,44,1306.0,91,467322,204856,77195
8,Valais,327011.0,66744.0,201026.0,59241.0,161991.0,165020.0,254273.0,72738.0,137702.0,146860.0,17922.0,24212.0,31,269.0,15,168248,76856,81907
9,Geneva,469433.0,99796.0,292269.0,77368.0,226947.0,242486.0,279635.0,189798.0,214221.0,189710.0,20313.0,43956.0,59,1083.0,91,427652,41781,-
10,,,,,,,,,,,,,,,,,,,
11,Espace Mittelland,1808480.0,367067.0,1106301.0,335112.0,889319.0,919161.0,1494209.0,314271.0,773418.0,786890.0,99451.0,146344.0,115,2090.0,172,905581,480670,422229
12,Bern,1001281.0,192610.0,611526.0,197145.0,489514.0,511767.0,855740.0,145541.0,426436.0,436090.0,57009.0,80308.0,55,1265.0,118,522456,221797,257028
13,Fribourg,297622.0,69260.0,184880.0,43482.0,148685.0,148937.0,235799.0,61823.0,133429.0,128639.0,13391.0,21805.0,28,307.0,23,96968,123462,77192
14,Solothurn,261437.0,50993.0,161991.0,48453.0,129750.0,131687.0,208257.0,53180.0,107676.0,117278.0,14447.0,21718.0,17,284.0,17,157750,67642,36045
15,Neuchâtel,176402.0,38283.0,105878.0,32241.0,86014.0,90388.0,132428.0,43974.0,75537.0,73480.0,10073.0,17121.0,10,173.0,8,104015,54158,18229
16,Jura,71738.0,15921.0,42026.0,13791.0,35356.0,36382.0,61985.0,9753.0,30340.0,31403.0,4531.0,5392.0,5,61.0,6,24392,13611,33735
17,,,,,,,,,,,,,,,,,,,
18,Northwest Switzerland,1104353.0,216199.0,687237.0,200917.0,545842.0,558511.0,833402.0,270951.0,464642.0,493279.0,56435.0,88212.0,65,1613.0,107,726714,275771,101868
19,Basel-Stadt,189335.0,31437.0,119089.0,38809.0,91124.0,98211.0,124478.0,64857.0,86521.0,72554.0,11374.0,18293.0,26,518.0,49,189335,-,-
20,Basel-Landschaft,278656.0,54044.0,166891.0,57721.0,136280.0,142376.0,221006.0,57650.0,110415.0,130095.0,15488.0,22177.0,8,449.0,24,189594,82024,7038
21,Aargau,636362.0,130718.0,401257.0,104387.0,318438.0,317924.0,487918.0,148444.0,267706.0,290630.0,29573.0,47742.0,31,646.0,34,347785,193747,94830
22,,,,,,,,,,,,,,,,,,,
23,Zurich,1425538.0,279106.0,907597.0,238835.0,706789.0,718749.0,1064112.0,361426.0,640145.0,596614.0,63246.0,121378.0,92,3783.0,280,1096851,318974,9713
24,,,,,,,,,,,,,,,,,,,
25,Eastern Switzerland,1134781.0,232213.0,704052.0,198516.0,567320.0,567461.0,888862.0,245919.0,483752.0,504564.0,58320.0,87063.0,48,973.0,61,617960,190930,325891
26,Glarus,39593.0,7799.0,24514.0,7280.0,20061.0,19532.0,30795.0,8798.0,16391.0,17897.0,2375.0,2896.0,2,30.0,2,29757,-,9836
27,Schaffhausen,78783.0,15014.0,47968.0,15801.0,38849.0,39934.0,59350.0,19433.0,31847.0,35611.0,4672.0,6533.0,2,115.0,3,45975,24769,8039
28,Appenzell A. Rh.,53691.0,11087.0,32762.0,9842.0,27051.0,26640.0,45645.0,8046.0,22812.0,23669.0,2873.0,4285.0,1,50.0,1,15342,25825,12524
29,Appenzell I. Rh.,15778.0,3611.0,9354.0,2813.0,8082.0,7696.0,14124.0,1654.0,7301.0,6833.0,849.0,790.0,-,5.0,-,-,-,15778
30,St. Gallen,491699.0,103824.0,304496.0,83379.0,245249.0,246450.0,379074.0,112625.0,212153.0,217246.0,24433.0,37452.0,17,372.0,26,342097,63752,85850
31,Graubünden,194959.0,36264.0,121272.0,37423.0,97225.0,97734.0,160440.0,34519.0,82946.0,86995.0,10791.0,14065.0,17,136.0,9,63422,22838,108699
32,Thurgau,260278.0,54614.0,163686.0,41978.0,130803.0,129475.0,199434.0,60844.0,110302.0,116313.0,12327.0,21042.0,9,265.0,20,121367,53746,85165
