,Commune,Total,1HH,2HH,3HH,4HH,5HH,6HH
0,Switzerland,8317056,1320230,2434588,1477575,1892056,792445,400162
1,Aeugst am Albis,1931,233,566,351,516,170,95
2,Affoltern am Albis,11741,1771,3498,1995,2628,1205,644
3,Bonstetten,5491,646,1606,960,1620,500,159
4,Hausen am Albis,3641,432,1084,609,980,365,171
5,Hedingen,3680,413,1076,639,1016,365,171
6,Kappel am Albis,1118,141,324,117,304,150,82
7,Knonau,2292,225,618,402,668,245,134
8,Maschwanden,640,78,170,117,152,95,28
9,Mettmenstetten,4823,496,1448,795,1312,560,212
10,Obfelden,5321,629,1520,984,1388,575,225
11,Ottenbach,2557,301,860,462,632,210,92
12,Rifferswil,1099,123,264,180,300,195,37
13,Stallikon,3705,386,1188,660,1056,265,150
14,Wettswil am Albis,5084,545,1582,969,1444,390,154
15,Adlikon,656,64,220,75,168,90,39
16,Benken (ZH),851,107,272,132,208,90,42
17,Berg am Irchel,563,67,240,84,124,30,18
18,Buch am Irchel,966,76,282,171,244,120,73
19,Dachsen,1912,200,574,285,548,190,115
20,Dorf,681,51,188,132,228,50,32
21,Feuerthalen,3588,558,1100,588,940,300,102
22,Flaach,1379,179,390,243,352,140,75
23,Flurlingen,1429,169,472,267,332,125,64
24,Andelfingen,2189,275,662,306,564,280,102
25,Henggart,2259,218,700,336,628,300,77
26,Humlikon,482,30,150,63,148,55,36
27,Kleinandelfingen,2064,238,652,342,556,195,81
28,Laufen-Uhwiesen,1648,201,552,237,400,200,58
29,Marthalen,1934,258,620,339,444,205,68
30,Oberstammheim,1190,151,390,165,232,155,97
31,Ossingen,1542,177,516,267,332,185,65
32,Rheinau,1273,206,418,228,256,115,50
33,Thalheim an der Thur,926,106,284,162,200,90,84
34,Trüllikon,1053,136,396,117,212,130,62
35,Truttikon,473,46,128,78,124,60,37
36,Unterstammheim,885,89,240,147,192,140,77
37,Volken,339,43,96,48,72,55,25
38,Waltalingen,652,64,230,117,156,65,20
39,Bachenbülach,4073,529,1292,708,964,425,155
40,Bassersdorf,11537,1448,3446,2070,3052,925,596
41,Bülach,19558,2791,5922,3615,4632,1700,898
42,Dietlikon,7616,1147,2454,1317,1620,650,428
43,Eglisau,5148,552,1494,957,1408,475,262
44,Embrach,9332,1140,2668,1698,2168,1050,608
45,Freienstein-Teufen,2345,241,780,438,552,225,109
46,Glattfelden,5128,612,1466,1011,1372,425,242
47,Hochfelden,1921,197,558,336,528,175,127
48,Höri,2689,305,700,510,684,290,200
49,Hüntwangen,1025,100,306,204,268,95,52
