,Residents,total_median,quartile_from,quartile_to,women_median,women_quartile_from,woman_quartile_to,men_median,men_quartile_from,man_quartile_to
1, TOTAL ,5856,4770.0,7200.0,5500.0,4454.0,6925.0,6057.0,5055.0,7392
3, Swiss,6096,4979.0,7456.0,5726.0,4648.0,7056.0,6371.0,5323.0,7792
5, Foreigners,5423,4461.0,6645.0,4918.0,4101.0,6511.0,5619.0,4740.0,6693
7, Short-term permit (L),5270,4180.0,6119.0,4286.0,3518.0,6003.0,5385.0,4490.0,6143
8, Temporary residence permit (B) ,5110,4223.0,6546.0,4819.0,3969.0,6666.0,5209.0,4391.0,6508
9, Permanent residence permit (C) ,5477,4582.0,6576.0,4850.0,4170.0,6223.0,5757.0,4953.0,6692
10, Cross-border worker (G) ,5645,4603.0,6988.0,5333.0,4179.0,6963.0,5765.0,4814.0,7000
11, Other,5070,4042.0,6135.0,4374.0,3670.0,5855.0,5276.0,4181.0,6158
