,Region,average_rent,<25,25-64,65+,<25 and 25-64,<25 and 65+,25-64 and 65+,"<25, 25-64, and 65+"
0,,,,,,,,,
1,Suisse,1348.0,1124.0,1299.0,1159.0,1567.0,1469,1358.0,1601.0
2,,,,,,,,,
3,Genferseeregion,1350.0,1093.0,1259.0,1117.0,1632.0,***** 1'453,1335.0,1605.0
4,Espace Mittelland,1180.0,996.0,1138.0,1040.0,1367.0,***** 1'175,1195.0,1389.0
5,Nordwestschweiz,1352.0,1155.0,1305.0,1205.0,1550.0,***** 1'881,1338.0,1574.0
6,Zürich,1554.0,1329.0,1519.0,1328.0,1769.0,X,1555.0,1800.0
7,Ostschweiz,1230.0,1086.0,1185.0,1097.0,1404.0,***** 1'220,1271.0,1464.0
8,Zentralschweiz,1470.0,1202.0,1434.0,1238.0,1688.0,***** 1'815,1513.0,1741.0
9,Tessin,1180.0,921.0,1104.0,1071.0,1413.0,***** 1'069,1208.0,1371.0
