,Residents,total_median,quartile_from,quartile_to,women_median,women_quartile_from,woman_quartile_to,men_median,men_quartile_from,man_quartile_to
1, TOTAL ,5425,4394.0,6688.0,5059.0,4009.0,6454,5642.0,4697.0,6836.0
3, Swiss,5652,4611.0,6956.0,5335.0,4267.0,6624,5924.0,4907.0,7221.0
5, Foreigners,5200,4187.0,6397.0,4658.0,3776.0,6145,5437.0,4518.0,6500.0
7, Short-term permit (L),3901,3265.0,5078.0,3346.0,3111.0,3850,4467.0,3639.0,5341.0
8, Temporary residence permit (B) ,4643,3767.0,5889.0,4113.0,3479.0,5690,4910.0,4042.0,5932.0
9, Permanent residence permit (C) ,5189,4244.0,6249.0,4511.0,3791.0,5776,5535.0,4690.0,6444.0
10, Cross-border worker (G) ,5760,4729.0,6995.0,5498.0,4356.0,6920,5866.0,4927.0,7042.0
11, Other,5156,4282.0,6299.0,5174.0,4197.0,6713,5149.0,4333.0,6237.0
