,Residents,total_median,quartile_from,quartile_to,women_median,women_quartile_from,woman_quartile_to,men_median,men_quartile_from,man_quartile_to
1, TOTAL ,5515,4485.0,6779.0,5200,4199,6620,5701.0,4727.0,6874.0
3, Swiss,5798,4745.0,7124.0,5489,4436,6786,6091.0,5046.0,7388.0
5, Foreigners,5263,4315.0,6474.0,4855,3997,6367,5464.0,4563.0,6501.0
7, Short-term permit (L),5029,3947.0,5738.0,[4 144] ,[3 570] ,[5 990] ,5157.0,4125.0,5735.0
8, Temporary residence permit (B) ,4711,3904.0,5885.0,4244,3711,5956,4872.0,4054.0,5875.0
9, Permanent residence permit (C) ,5258,4333.0,6358.0,4669,3972,5939,5605.0,4688.0,6481.0
10, Cross-border worker (G) ,5730,4746.0,6967.0,5548,4570,6913,5810.0,4824.0,7004.0
11, Other,4935,3951.0,6158.0,4379,3807,5855,5323.0,4089.0,6205.0
