,Residents,total_median,quartile_from,quartile_to,women_median,women_quartile_from,woman_quartile_to,men_median,men_quartile_from,man_quartile_to
1, TOTAL ,5520,4495,6784,4877,4033,6368,5810,4931,7028
3, Swiss,5653,4621,6895,5087,4190,6466,5951,5059,7169
5, Foreigners,5200,4185,6440,4312,3527,5810,5509,4681,6613
7, Short-term permit (L),4985,3966,5721,[3 851] ,[3 199] ,[4 642] ,5047,4327,5857
8, Temporary residence permit (B) ,5242,4164,6866,4471,3543,6366,5465,4555,7153
9, Permanent residence permit (C) ,5285,4381,6402,4404,3840,5685,5623,4894,6559
10, Cross-border worker (G) ,[6 225] ,[5 237] ,[7 678] ,[4 662] ,[3 502] ,[7 226] ,[6 533] ,[5 638] ,[7 747] 
11, Other,2189,1549,3507,1887,1472,2558,[3 242] ,[1 790] ,[3 663] 
