,Residents,total_median,quartile_from,quartile_to,women_median,women_quartile_from,woman_quartile_to,men_median,men_quartile_from,man_quartile_to
1, TOTAL ,5050,4222.0,6067.0,4381.0,3762.0,5348,5383.0,4616.0,6332.0
3, Swiss,5196,4333.0,6268.0,4576.0,3960.0,5548,5583.0,4744.0,6620.0
5, Foreigners,4847,3975.0,5720.0,3973.0,3424.0,4814,5151.0,4478.0,5922.0
7, Short-term permit (L),4278,3368.0,5158.0,3429.0,3124.0,3830,4574.0,3571.0,5324.0
8, Temporary residence permit (B) ,4674,3838.0,5533.0,3910.0,3377.0,4947,4929.0,4232.0,5663.0
9, Permanent residence permit (C) ,4876,4066.0,5692.0,4003.0,3527.0,4686,5241.0,4607.0,5949.0
10, Cross-border worker (G) ,5308,4478.0,6243.0,4477.0,3476.0,5730,5445.0,4721.0,6376.0
11, Other,5046,4181.0,6363.0,4396.0,3707.0,5437,5306.0,4487.0,6657.0
