,Unnamed: 0,Unnamed: 1,0–19,20–64,65 and over,Male,Female,Swiss,Foreigner,Single,Married,Widowed,Divorced,Unmarried,In a registered partnership,Partnership dissolved,Urban core,Area influenced,Area beyond
0,,,,,,,,,,,,,,,,,area,by urban cores,urban core
1,,,,,,,,,,,,,,,,,,,influence
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,Total,8327126.0,1675503.0,5156571.0,1495052.0,4121471.0,4205655.0,6278459.0,2048667.0,3650651.0,3568702.0,407151.0,684114.0,563.0,14306.0,1446.0,5224160,1812583,1290383
5,,,,,,,,,,,,,,,,,,,
6,Lake Geneva region,1593839.0,340411.0,984543.0,268885.0,779927.0,813912.0,1059872.0,533967.0,720102.0,659175.0,73197.0,137698.0,146.0,3139.0,331.0,1094617,335853,163369
7,Vaud,773407.0,170633.0,476817.0,125957.0,379074.0,394333.0,513739.0,259668.0,353300.0,318102.0,34604.0,65634.0,51.0,1533.0,159.0,479658,213338,80411
8,Valais,335696.0,67347.0,205413.0,62936.0,166426.0,169270.0,258612.0,77084.0,142216.0,148810.0,18126.0,26148.0,33.0,312.0,35.0,173187,79551,82958
9,Geneva,484736.0,102431.0,302313.0,79992.0,234427.0,250309.0,287521.0,197215.0,224586.0,192263.0,20467.0,45916.0,62.0,1294.0,137.0,441772,42964,-
10,,,,,,,,,,,,,,,,,,,
11,Espace Mittelland,1842251.0,369495.0,1123767.0,348989.0,907412.0,934839.0,1504471.0,337780.0,795493.0,791151.0,98791.0,153932.0,124.0,2446.0,274.0,922226,490336,429689
12,Bern,1017483.0,194111.0,618383.0,204989.0,498258.0,519225.0,860017.0,157466.0,437186.0,437850.0,56477.0,84190.0,55.0,1522.0,177.0,531765,225656,260062
13,Fribourg,307461.0,70214.0,191105.0,46142.0,153729.0,153732.0,240182.0,67279.0,138940.0,131243.0,13395.0,23452.0,33.0,349.0,40.0,100331,126895,80235
14,Solothurn,266418.0,51266.0,164739.0,50413.0,132439.0,133979.0,209355.0,57063.0,110681.0,118113.0,14493.0,22736.0,15.0,346.0,31.0,160616,68851,36951
15,Neuchâtel,178107.0,38117.0,107066.0,32924.0,87021.0,91086.0,132556.0,45551.0,77637.0,72597.0,9888.0,17781.0,13.0,169.0,20.0,104592,55172,18343
16,Jura,72782.0,15787.0,42474.0,14521.0,35965.0,36817.0,62361.0,10421.0,31049.0,31348.0,4538.0,5773.0,8.0,60.0,6.0,24922,13762,34098
17,,,,,,,,,,,,,,,,,,,
18,Northwest Switzerland,1128723.0,219781.0,699694.0,209248.0,559109.0,569614.0,841131.0,287592.0,478839.0,499021.0,56411.0,92221.0,62.0,1980.0,172.0,740960,283308,104455
19,Basel-Stadt,191817.0,32205.0,120778.0,38834.0,92514.0,99303.0,124365.0,67452.0,89611.0,71876.0,11013.0,18618.0,22.0,605.0,66.0,191817,-,-
20,Basel-Landschaft,283231.0,54436.0,168679.0,60116.0,138808.0,144423.0,221489.0,61742.0,113105.0,131033.0,15535.0,22967.0,7.0,547.0,31.0,192488,83710,7033
21,Aargau,653675.0,133140.0,410237.0,110298.0,327787.0,325888.0,495277.0,158398.0,276123.0,296112.0,29863.0,50636.0,33.0,828.0,75.0,356655,199598,97422
22,,,,,,,,,,,,,,,,,,,
23,Zurich,1466424.0,287660.0,931178.0,247586.0,728517.0,737907.0,1083372.0,383052.0,666873.0,606119.0,63094.0,125457.0,82.0,4277.0,473.0,1129596,326788,10040
24,,,,,,,,,,,,,,,,,,,
25,Eastern Switzerland,1153485.0,232358.0,712657.0,208470.0,577461.0,576024.0,895674.0,257811.0,491555.0,510952.0,58196.0,91427.0,52.0,1188.0,93.0,627789,195400,330296
26,Glarus,40028.0,7762.0,24638.0,7628.0,20309.0,19719.0,30721.0,9307.0,16607.0,17981.0,2337.0,3061.0,3.0,34.0,5.0,30367,-,9661
27,Schaffhausen,79836.0,15032.0,48401.0,16403.0,39391.0,40445.0,59664.0,20172.0,32404.0,35863.0,4637.0,6810.0,2.0,109.0,10.0,46264,25529,8043
28,Appenzell A. Rh.,54543.0,11103.0,33196.0,10244.0,27506.0,27037.0,45985.0,8558.0,23055.0,24037.0,2874.0,4493.0,2.0,80.0,2.0,15721,26110,12712
29,Appenzell I. Rh.,15974.0,3536.0,9514.0,2924.0,8196.0,7778.0,14240.0,1734.0,7338.0,6962.0,851.0,811.0,1.0,9.0,2.0,-,-,15974
30,St. Gallen,499065.0,103693.0,308228.0,87144.0,249392.0,249673.0,381712.0,117353.0,215628.0,219430.0,24353.0,39106.0,18.0,482.0,34.0,347036,64874,87155
31,Graubünden,196610.0,36141.0,121035.0,39434.0,98212.0,98398.0,160689.0,35921.0,83298.0,87457.0,10723.0,14935.0,14.0,166.0,13.0,64034,23551,109025
