,Region,Population,0–19,20–64,65 and over,Male,Female,Swiss,Foreigner,Single,Married,Widowed,Divorced,Unmarried,In a registered partnership,Partnership dissolved,Urban core area,influenced by urban cores,influenced beyond urban cores
0,,,,,,,,,,,,,,,,,area,by urban cores,urban core
1,,,,,,,,,,,,,,,,,,,influence
4,Total,8039060.0,1643307.0,4997135.0,1398618.0,3968524.0,4070536.0,6169091.0,1869969.0,3477652.0,3507132.0,407661.0,634401.0,502,11057.0,655,5042728,1742882,1253450
6,Lake Geneva region,1519189.0,329582.0,938902.0,250705.0,741999.0,777190.0,1029640.0,489549.0,671776.0,646068.0,72781.0,125884.0,130,2415.0,135,1046667,316316,156206
7,Vaud,734356.0,164537.0,452075.0,117744.0,358983.0,375373.0,498089.0,236267.0,326830.0,311274.0,34752.0,60211.0,41,1193.0,55,459415,199943,74998
8,Valais,321732.0,66135.0,198363.0,57234.0,159279.0,162453.0,252134.0,69598.0,134957.0,145504.0,17768.0,23229.0,31,230.0,13,165091,75433,81208
9,Geneva,463101.0,98910.0,288464.0,75727.0,223737.0,239364.0,279417.0,183684.0,209989.0,189290.0,20261.0,42444.0,58,992.0,67,422161,40940,-
11,Espace Mittelland,1788791.0,366053.0,1095393.0,327345.0,878397.0,910394.0,1488524.0,300267.0,761169.0,784059.0,99799.0,141629.0,103,1920.0,112,894765,475236,418790
12,Bern,992617.0,192241.0,607461.0,192915.0,484658.0,507959.0,853602.0,139015.0,420599.0,435371.0,57369.0,78010.0,51,1146.0,71,516698,220153,255766
13,Fribourg,291395.0,68379.0,181009.0,42007.0,145326.0,146069.0,233105.0,58290.0,130145.0,126821.0,13272.0,20834.0,21,282.0,20,94830,121083,75482
14,Solothurn,259283.0,51274.0,160742.0,47267.0,128386.0,130897.0,207443.0,51840.0,106473.0,116955.0,14527.0,21040.0,15,263.0,10,156262,67201,35820
15,Neuchâtel,174554.0,38264.0,104534.0,31756.0,85050.0,89504.0,132652.0,41902.0,74078.0,73594.0,10112.0,16579.0,11,174.0,6,103058,53363,18133
16,Jura,70942.0,15895.0,41647.0,13400.0,34977.0,35965.0,61722.0,9220.0,29874.0,31318.0,4519.0,5166.0,5,55.0,5,23917,13436,33589
18,Northwest Switzerland,1091302.0,214809.0,680238.0,196255.0,538900.0,552402.0,829508.0,261794.0,457174.0,490288.0,56259.0,86027.0,61,1410.0,83,718629,271927,100746
19,Basel-Stadt,187425.0,31024.0,117752.0,38649.0,89948.0,97477.0,124497.0,62928.0,84839.0,72495.0,11542.0,18044.0,25,439.0,41,187425,-,-
20,Basel-Landschaft,276537.0,53963.0,166202.0,56372.0,135244.0,141293.0,220923.0,55614.0,109164.0,129830.0,15431.0,21674.0,8,412.0,18,188224,81312,7001
21,Aargau,627340.0,129822.0,396284.0,101234.0,313708.0,313632.0,484088.0,143252.0,263171.0,287963.0,29286.0,46309.0,28,559.0,24,342980,190615,93745
23,Zurich,1408575.0,275787.0,898516.0,234272.0,697854.0,710721.0,1057472.0,351103.0,628429.0,593635.0,63408.0,119275.0,81,3538.0,209,1083494,315507,9574
25,Eastern Switzerland,1123672.0,232659.0,697728.0,193285.0,561099.0,562573.0,885556.0,238116.0,478820.0,500886.0,58369.0,84619.0,51,869.0,58,611664,188760,323248
26,Glarus,39369.0,7827.0,24427.0,7115.0,19904.0,19465.0,30795.0,8574.0,16275.0,17879.0,2400.0,2785.0,2,26.0,2,29510,-,9859
27,Schaffhausen,77955.0,14945.0,47537.0,15473.0,38361.0,39594.0,59199.0,18756.0,31356.0,35540.0,4640.0,6313.0,2,100.0,4,45633,24354,7968
28,Appenzell A. Rh.,53438.0,11222.0,32537.0,9679.0,26872.0,26566.0,45602.0,7836.0,22608.0,23712.0,2908.0,4170.0,1,36.0,3,15222,25724,12492
29,Appenzell I. Rh.,15717.0,3654.0,9316.0,2747.0,8053.0,7664.0,14137.0,1580.0,7279.0,6828.0,853.0,753.0,-,2.0,2,-,-,15717
30,St. Gallen,487060.0,104025.0,301933.0,81102.0,242619.0,244441.0,377489.0,109571.0,210098.0,215667.0,24459.0,36456.0,17,344.0,19,338652,63247,85161
31,Graubünden,193920.0,36464.0,121040.0,36416.0,96578.0,97342.0,160390.0,33530.0,82519.0,86683.0,10819.0,13748.0,20,120.0,11,63043,22593,108284
32,Thurgau,256213.0,54522.0,160938.0,40753.0,128712.0,127501.0,197944.0,58269.0,108685.0,114577.0,12290.0,20394.0,9,241.0,17,119604,52842,83767
34,Central Switzerland,765879.0,160449.0,480563.0,124867.0,384402.0,381477.0,628071.0,137808.0,340505.0,339115.0,35729.0,49793.0,46,657.0,34,449456,99585,216838
35,Lucerne,386082.0,82021.0,240856.0,63205.0,191230.0,194852.0,320628.0,65454.0,175394.0,167558.0,18578.0,24180.0,20,334.0,18,205001,42490,138591
36,Uri,35693.0,7512.0,21512.0,6669.0,18206.0,17487.0,31938.0,3755.0,15294.0,16748.0,2041.0,1584.0,6,17.0,3,21486,9990,4217
37,Schwyz,149830.0,31223.0,95054.0,23553.0,76602.0,73228.0,120856.0,28974.0,65129.0,67218.0,6752.0,10595.0,6,123.0,7,90739,31684,27407
38,Obwalden,36115.0,7722.0,22542.0,5851.0,18301.0,17814.0,31131.0,4984.0,16090.0,16143.0,1763.0,2097.0,2,19.0,1,9959,-,26156
39,Nidwalden,41584.0,8043.0,26307.0,7234.0,21247.0,20337.0,36398.0,5186.0,18049.0,18643.0,1905.0,2967.0,4,16.0,-,15630,5487,20467
