,Unnamed: 0,Unnamed: 1,0–19,20–64,65 and over,Male,Female,Swiss,Foreigner,Single,Married,Widowed,Divorced,Unmarried,In a registered partnership,Partnership dissolved,Urban core,Area influenced,Area beyond
0,,,,,,,,,,,,,,,,,area,by urban cores,urban core
1,,,,,,,,,,,,,,,,,,,influence
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,Total,8419550.0,1691466.0,5205025.0,1523059.0,4173437.0,4246113.0,6318404.0,2101146.0,3710349.0,3585129.0,406983.0,699200.0,597.0,15324.0,1730.0,5282707,1837044,1299799
5,,,,,,,,,,,,,,,,,,,
6,Lake Geneva region,1613522.0,343884.0,996126.0,273512.0,790573.0,822949.0,1074042.0,539480.0,734396.0,661014.0,73218.0,140988.0,166.0,3292.0,392.0,1107433,341044,165045
7,Vaud,784822.0,172689.0,483842.0,128291.0,385389.0,399433.0,520957.0,263865.0,361457.0,319592.0,34549.0,67313.0,59.0,1639.0,183.0,486030,216920,81872
8,Valais,339176.0,67739.0,206913.0,64524.0,168072.0,171104.0,260444.0,78732.0,144112.0,149235.0,18259.0,27145.0,37.0,325.0,48.0,175361,80642,83173
9,Geneva,489524.0,103456.0,305371.0,80697.0,237112.0,252412.0,292641.0,196883.0,228827.0,192187.0,20410.0,46530.0,70.0,1328.0,161.0,446042,43482,-
10,,,,,,,,,,,,,,,,,,,
11,Espace Mittelland,1859557.0,372064.0,1131995.0,355498.0,917893.0,941664.0,1509290.0,350267.0,807879.0,792454.0,98294.0,157791.0,127.0,2621.0,340.0,932607,495907,431043
12,Bern,1026513.0,195733.0,622339.0,208441.0,503789.0,522724.0,861614.0,164899.0,443834.0,438530.0,56089.0,86136.0,58.0,1610.0,223.0,537279,228035,261199
13,Fribourg,311914.0,70816.0,193603.0,47495.0,156334.0,155580.0,242087.0,69827.0,141835.0,131932.0,13448.0,24230.0,34.0,385.0,43.0,103226,128666,80022
14,Solothurn,269441.0,51712.0,166200.0,51529.0,134300.0,135141.0,210240.0,59201.0,112377.0,118905.0,14383.0,23344.0,15.0,368.0,40.0,162403,69702,37336
15,Neuchâtel,178567.0,38110.0,107176.0,33281.0,87312.0,91255.0,132878.0,45689.0,78415.0,71940.0,9830.0,18152.0,13.0,191.0,26.0,104666,55652,18249
16,Jura,73122.0,15693.0,42677.0,14752.0,36158.0,36964.0,62471.0,10651.0,31418.0,31147.0,4544.0,5929.0,7.0,67.0,8.0,25033,13852,34237
17,,,,,,,,,,,,,,,,,,,
18,Northwest Switzerland,1142156.0,222348.0,706708.0,213100.0,566718.0,575438.0,845728.0,296428.0,486949.0,501849.0,56612.0,94334.0,66.0,2118.0,210.0,749305,287018,105833
19,Basel-Stadt,193070.0,32634.0,121641.0,38795.0,93212.0,99858.0,124026.0,69044.0,91119.0,71579.0,10856.0,18773.0,20.0,652.0,66.0,193070,-,-
20,Basel-Landschaft,285624.0,54894.0,169564.0,61166.0,140142.0,145482.0,221990.0,63634.0,114577.0,131232.0,15659.0,23510.0,10.0,589.0,44.0,194396,84267,6961
21,Aargau,663462.0,134820.0,415503.0,113139.0,333364.0,330098.0,499712.0,163750.0,281253.0,299038.0,30097.0,52051.0,36.0,877.0,100.0,361839,202751,98872
22,,,,,,,,,,,,,,,,,,,
23,Zurich,1487969.0,293045.0,943505.0,251419.0,739814.0,748155.0,1092631.0,395338.0,681544.0,610364.0,63250.0,127472.0,93.0,4623.0,555.0,1146031,331802,10136
24,,,,,,,,,,,,,,,,,,,
25,Eastern Switzerland,1162684.0,233475.0,716110.0,213099.0,582942.0,579742.0,898952.0,263732.0,495878.0,513991.0,58057.0,93293.0,53.0,1273.0,112.0,631499,198485,332700
26,Glarus,40147.0,7773.0,24584.0,7790.0,20329.0,19818.0,30650.0,9497.0,16683.0,17945.0,2329.0,3148.0,2.0,36.0,4.0,30572,-,9575
27,Schaffhausen,80769.0,15243.0,48813.0,16713.0,40020.0,40749.0,59889.0,20880.0,32985.0,36035.0,4616.0,6996.0,2.0,125.0,9.0,46555,25971,8243
28,Appenzell A. Rh.,54954.0,11145.0,33434.0,10375.0,27778.0,27176.0,46044.0,8910.0,23260.0,24154.0,2851.0,4604.0,2.0,80.0,3.0,15730,26328,12896
29,Appenzell I. Rh.,16003.0,3511.0,9527.0,2965.0,8237.0,7766.0,14230.0,1773.0,7311.0,6974.0,851.0,853.0,1.0,11.0,2.0,-,-,16003
30,St. Gallen,502552.0,104274.0,309354.0,88924.0,251526.0,251026.0,382829.0,119723.0,217268.0,220661.0,24299.0,39721.0,22.0,519.0,44.0,348830,65680,88042
31,Graubünden,197550.0,36079.0,121002.0,40469.0,98853.0,98697.0,160932.0,36618.0,83644.0,87645.0,10710.0,15346.0,13.0,169.0,18.0,64339,24115,109096
