,Commune,Total,1HH,2HH,3HH,4HH,5HH,6HH
0,Switzerland,7970185,1242396,2309234,1410525,1819056,782230,406744
1,Aeugst am Albis,1958,225,554,342,520,230,87
2,Affoltern am Albis,11076,1565,3286,1746,2480,1200,799
3,Bonstetten,5246,589,1560,978,1528,470,121
4,Hausen am Albis,3401,394,998,543,992,315,159
5,Hedingen,3578,387,1046,630,1028,350,137
6,Kappel am Albis,954,120,260,138,240,130,66
7,Knonau,1993,203,536,381,544,240,89
8,Maschwanden,662,86,156,93,216,85,26
9,Mettmenstetten,4343,421,1334,777,1240,455,116
10,Obfelden,4832,532,1388,798,1300,595,219
11,Ottenbach,2467,259,814,405,688,240,61
12,Rifferswil,959,98,240,141,288,135,57
13,Stallikon,3326,351,1140,648,836,245,106
14,Wettswil am Albis,4619,498,1462,870,1256,385,148
15,Adlikon,575,50,196,75,136,70,48
16,Benken (ZH),819,93,278,150,184,85,29
17,Berg am Irchel,577,56,212,108,140,35,26
18,Buch am Irchel,917,67,256,156,236,135,67
19,Dachsen,1965,170,584,273,624,235,79
20,Dorf,618,44,184,108,184,80,18
21,Feuerthalen,3437,533,1044,606,868,285,101
22,Flaach,1327,137,410,234,380,130,36
23,Flurlingen,1387,179,428,252,372,95,61
24,Andelfingen,2084,244,634,366,512,235,93
25,Henggart,2264,220,686,330,644,310,74
26,Humlikon,474,21,152,51,160,60,30
27,Kleinandelfingen,2024,220,644,354,536,210,60
28,Laufen-Uhwiesen,1612,200,524,261,400,170,57
29,Marthalen,1968,228,606,387,464,185,98
30,Oberstammheim,1141,137,404,138,288,135,39
31,Ossingen,1336,159,398,234,284,195,66
32,Rheinau,1299,210,374,234,308,105,68
33,Thalheim an der Thur,910,96,278,171,192,110,63
34,Trüllikon,993,123,376,123,192,130,49
35,Truttikon,447,36,104,96,100,60,51
36,Unterstammheim,879,92,220,132,188,140,107
37,Volken,304,38,90,33,68,50,25
38,Waltalingen,686,53,202,150,164,85,32
39,Bachenbülach,4016,478,1268,705,1016,415,134
40,Bassersdorf,11274,1358,3286,2139,2896,940,655
41,Bülach,18071,2644,5568,3282,4132,1670,775
42,Dietlikon,7171,1066,2366,1185,1604,545,405
43,Eglisau,4903,514,1468,903,1268,485,265
44,Embrach,8820,984,2534,1629,2128,955,590
45,Freienstein-Teufen,2258,208,736,411,540,270,93
46,Glattfelden,4568,556,1304,798,1348,355,207
47,Hochfelden,1999,189,570,348,608,195,89
48,Höri,2613,277,694,501,620,335,186
49,Hüntwangen,1005,88,322,138,312,115,30
50,Kloten,18189,3155,5638,3492,3524,1660,720
51,Lufingen,1865,176,518,360,560,195,56
52,Nürensdorf,5296,678,1866,876,1272,425,179
53,Oberembrach,1077,130,418,153,228,105,43
54,Opfikon,16221,2824,4492,3036,3088,1670,1111
55,Rafz,4154,455,1228,774,1032,450,215
56,Rorbas,2564,286,666,486,640,325,161
57,Wallisellen,14624,2397,4760,2583,3040,1280,564
58,Wasterkingen,575,69,204,96,144,30,32
59,Wil (ZH),1299,151,404,240,316,145,43
60,Winkel,4176,533,1448,777,976,315,127
61,Bachs,608,48,184,102,156,85,33
62,Boppelsen,1310,128,432,171,428,125,26
63,Buchs (ZH),6153,779,1756,1167,1440,615,396
64,Dällikon,3749,493,1096,720,964,320,156
65,Dänikon,1941,177,544,405,552,190,73
66,Dielsdorf,5855,787,1800,1179,1364,465,260
67,Hüttikon,680,58,232,150,152,55,33
68,Neerach,3000,358,1178,534,616,250,64
69,Niederglatt,4599,580,1364,828,1108,455,264
70,Niederhasli,8821,1033,2556,1671,2324,895,342
71,Niederweningen,2762,261,768,471,808,315,139
72,Oberglatt,6419,960,1684,1128,1396,755,496
73,Oberweningen,1738,168,548,360,424,135,103
74,Otelfingen,2724,244,764,639,732,245,100
75,Regensberg,485,86,168,78,96,45,12
76,Regensdorf,16970,2355,5030,3165,3864,1700,856
77,Rümlang,7082,1049,2032,1383,1604,625,389
78,Schleinikon,705,75,196,114,208,100,12
79,Schöfflisdorf,1351,154,448,264,312,125,48
80,Stadel,2010,248,624,384,504,175,75
81,Steinmaur,3304,491,1142,561,736,255,119
82,Weiach,1064,114,348,177,260,80,85
83,Bäretswil,4865,505,1578,840,1120,565,257
84,Bubikon,6874,662,2116,1164,1892,690,350
85,Dürnten,7096,781,2040,1062,1812,900,501
86,Fischenthal,2295,219,616,363,596,310,191
87,Gossau (ZH),9621,1065,3098,1671,2244,1090,453
88,Grüningen,3248,391,1038,540,816,345,118
89,Hinwil,10697,1420,3418,1827,2288,1095,649
90,Rüti (ZH),11664,1806,3294,2061,2628,1175,700
91,Seegräben,1324,113,402,279,296,165,69
92,Wald (ZH),9190,1380,2592,1599,2188,900,531
93,Wetzikon (ZH),23395,3412,7178,4089,5212,2200,1304
94,Adliswil,18048,3030,5556,3402,3764,1425,871
95,Hirzel,2131,200,622,336,632,260,81
96,Horgen,19213,2847,5748,3597,4576,1625,820
97,Hütten,887,100,182,126,264,135,80
98,Kilchberg (ZH),7761,1524,2320,1374,1676,715,152
99,Langnau am Albis,7248,1040,2252,1305,1848,580,223
100,Oberrieden,4907,789,1578,834,1208,395,103
101,Richterswil,12868,1758,3890,2376,3276,1110,458
102,Rüschlikon,5434,790,1628,939,1316,510,251
103,Schönenberg (ZH),1859,187,628,330,436,220,58
104,Thalwil,17391,3076,5538,3018,3988,1275,496
105,Wädenswil,20693,3191,6406,3666,4488,2000,942
106,Erlenbach (ZH),5271,742,1512,993,1348,485,191
107,Herrliberg,6065,814,1822,1014,1544,635,236
108,Hombrechtikon,8030,1047,2376,1437,2020,825,325
109,Küsnacht (ZH),13341,2232,4202,2322,3020,1140,425
110,Männedorf,10316,1533,3202,1707,2696,950,228
111,Meilen,12791,1883,3986,2277,3196,990,459
112,Oetwil am See,4522,627,1226,804,1156,460,249
113,Stäfa,13696,2150,4558,2247,3164,1130,447
114,Uetikon am See,5805,690,1820,1119,1520,485,171
115,Zumikon,5122,703,1458,834,1328,555,244
116,Zollikon,12069,2167,3768,2229,2620,1020,265
117,Bauma,4253,486,1230,753,1068,485,231
118,Fehraltorf,6223,681,1972,1179,1596,575,220
119,Hittnau,3532,368,1006,537,960,445,216
120,Illnau-Effretikon,16074,2708,5120,2649,3368,1390,839
121,Kyburg,406,50,124,90,96,20,26
122,Lindau,5284,549,1568,1008,1340,590,229
123,Pfäffikon,10951,1559,3498,1986,2496,950,462
124,Russikon,4104,373,1260,738,1116,380,237
125,Sternenberg,341,53,118,30,60,30,50
126,Weisslingen,3184,310,954,588,872,315,145
127,Wila,1883,258,616,300,384,195,130
128,Wildberg,975,95,270,189,240,120,61
129,Dübendorf,25244,4123,7366,4551,5320,2165,1719
130,Egg,8207,1066,2520,1410,2180,730,301
131,Fällanden,8093,1147,2596,1521,1904,650,275
132,Greifensee,5260,644,1690,951,1240,580,155
133,Maur,9564,1262,2870,1824,2408,880,320
134,Mönchaltorf,3410,410,1102,576,868,305,149
135,Schwerzenbach,4912,736,1568,876,1132,465,135
136,Uster,32679,5097,10028,5622,7788,2990,1154
137,Volketswil,17935,2073,5288,3324,4512,1705,1033
138,Wangen-Brüttisellen,7538,895,2152,1434,2044,735,278
139,Altikon,636,55,224,123,144,60,30
140,Bertschikon,1075,86,316,177,348,105,43
141,Brütten,1996,218,660,351,476,215,76
142,Dägerlen,966,70,274,156,276,140,50
143,Dättlikon,753,64,210,150,204,85,40
144,Dinhard,1486,129,480,234,408,180,55
145,Elgg,4079,589,1226,678,904,445,237
146,Ellikon an der Thur,885,78,238,162,252,100,55
147,Elsau,3398,337,1042,618,884,350,167
148,Hagenbuch,1078,119,330,198,264,80,87
149,Hettlingen,2992,256,798,438,932,430,138
150,Hofstetten (ZH),475,37,124,75,124,65,50
151,Neftenbach,5381,541,1506,996,1536,595,207
152,Pfungen,3497,465,996,630,832,360,214
153,Rickenbach (ZH),2496,267,728,456,656,290,99
154,Schlatt (ZH),735,63,188,138,184,105,57
155,Seuzach,7129,920,2432,1302,1700,560,215
156,Turbenthal,4308,443,1264,777,1024,470,330
157,Wiesendangen,4906,444,1462,759,1512,565,164
158,Winterthur,103972,18480,31526,17793,22004,9375,4794
159,Zell (ZH),5536,682,1686,885,1428,605,250
160,Aesch (ZH),1179,159,386,195,308,95,36
161,Birmensdorf (ZH),6011,879,2076,1026,1332,510,188
162,Dietikon,24995,3878,7070,4632,5236,2470,1709
163,Geroldswil,4701,650,1486,855,1120,365,225
164,Oberengstringen,6357,1103,2146,1014,1348,495,251
165,Oetwil an der Limmat,2267,363,828,351,496,135,94
166,Schlieren,17301,2812,4778,3204,3384,1725,1398
167,Uitikon,3890,491,1306,723,988,280,102
168,Unterengstringen,3393,474,1166,531,732,280,210
169,Urdorf,9394,1581,3026,1713,1996,785,293
170,Weiningen (ZH),4317,543,1242,723,1048,450,311
171,Zürich,369674,85559,112784,64353,64496,25355,17127
172,Aarberg,4188,655,1410,696,968,355,104
173,Bargen (BE),993,107,262,195,292,75,62
174,Grossaffoltern,2827,327,954,456,708,260,122
175,Kallnach,1891,226,612,330,492,145,86
176,Kappelen,1286,156,370,222,412,120,6
177,Lyss,14024,2248,4488,2565,3288,1070,365
178,Meikirch,2400,294,872,426,524,230,54
179,Radelfingen,1209,175,426,177,252,115,64
180,Rapperswil (BE),2358,283,706,354,604,290,121
181,Schüpfen,3626,461,1190,573,912,350,140
182,Seedorf (BE),2911,399,958,510,680,270,94
183,Aarwangen,4182,560,1268,627,996,465,266
184,Auswil,450,59,140,66,76,70,39
185,Bannwil,680,88,234,93,140,80,45
186,Bleienbach,656,91,240,123,136,35,31
187,Busswil bei Melchnau,193,31,76,33,20,15,18
188,Gondiswil,738,92,218,126,200,45,57
189,Langenthal,14945,2738,4696,2424,3136,1415,536
190,Lotzwil,2422,365,682,390,552,280,153
191,Madiswil,3119,400,946,456,728,345,244
192,Melchnau,1491,197,470,207,360,125,132
193,Obersteckholz,412,43,118,72,104,50,25
194,Oeschenbach,233,30,90,33,36,25,19
195,Reisiswil,191,23,56,27,40,30,15
196,Roggwil (BE),3809,460,1170,687,900,335,257
197,Rohrbach,1383,228,442,195,324,150,44
198,Rohrbachgraben,407,37,104,54,76,100,36
199,Rütschelen,556,52,182,72,128,80,42
200,Schwarzhäusern,498,57,138,90,156,45,12
201,Thunstetten,3022,395,962,483,708,360,114
202,Ursenbach,880,114,242,123,192,130,79
203,Wynau,1531,205,472,315,284,105,150
204,Bern,123555,28520,36862,21471,21040,9425,6237
205,Bolligen,6002,810,2244,879,1304,555,210
206,Bremgarten bei Bern,4264,553,1532,663,1072,345,99
207,Kirchlindach,2837,385,1056,459,600,255,82
208,Köniz,39192,6758,12602,6339,8656,3270,1567
209,Muri bei Bern,12468,2160,4412,1965,2488,1080,363
210,Oberbalm,876,106,270,147,176,125,52
211,Stettlen,2910,368,992,498,724,220,108
212,Vechigen,4919,576,1698,789,1216,475,165
213,Wohlen bei Bern,8880,1219,3150,1497,1852,875,287
214,Zollikofen,9807,1705,3148,1752,2012,810,380
215,Ittigen,10811,1919,3660,1650,2352,880,350
216,Ostermundigen,15927,3351,5374,2679,2940,1125,458
217,Biel/Bienne,52119,10459,13944,9291,9384,4775,4266
218,Evilard,2463,330,752,444,556,265,116
219,Arch,1498,203,502,279,356,115,43
220,Büetigen,765,87,254,135,180,90,19
221,Büren an der Aare,3369,524,988,606,812,275,164
222,Diessbach bei Büren,937,107,264,135,260,110,61
223,Dotzigen,1405,140,466,255,384,100,60
224,Lengnau (BE),4609,774,1590,777,1020,350,98
225,Leuzigen,1194,167,396,168,292,95,76
226,Meienried,53,4,30,6,8,5,0
227,Meinisberg,1293,138,452,201,336,95,71
228,Oberwil bei Büren,806,94,264,129,204,60,55
229,Pieterlen,3844,574,1218,630,780,395,247
230,Rüti bei Büren,807,111,252,183,196,40,25
231,Wengi,600,76,170,78,176,80,20
232,Aefligen,1050,166,328,234,240,70,12
233,Alchenstorf,568,63,166,102,172,65,0
234,Bäriswil,1018,109,366,195,280,50,18
235,Burgdorf,15623,2940,5038,2337,3296,1415,597
236,Ersigen,1624,172,546,243,436,190,37
237,Hasle bei Burgdorf,3208,432,1020,465,828,295,168
238,Heimiswil,1574,200,468,243,360,185,118
239,Hellsau,191,17,64,27,56,15,12
240,Hindelbank,2284,304,812,390,536,190,52
241,Höchstetten,270,33,80,36,64,45,12
242,Kernenried,440,39,164,66,104,55,12
243,Kirchberg (BE),5686,809,1936,912,1368,510,151
244,Koppigen,2042,242,690,282,508,210,110
245,Krauchthal,2259,279,704,366,592,230,88
246,Lyssach,1374,215,482,219,296,125,37
247,Mötschwil,126,20,30,12,36,15,13
248,Niederösch,232,22,72,21,64,35,18
249,Oberburg,2887,379,934,423,648,330,173
250,Oberösch,108,13,38,24,16,10,7
251,Rüdtligen-Alchenflüh,2374,363,748,375,536,255,97
252,Rumendingen,87,8,32,15,20,5,7
253,Rüti bei Lyssach,170,28,42,36,32,20,12
254,Willadingen,210,26,88,21,48,15,12
255,Wynigen,1954,248,590,306,444,250,116
256,Corgémont,1600,199,480,288,432,110,91
257,Cormoret,479,66,140,81,100,80,12
258,Cortébert,709,110,216,111,152,80,40
259,Courtelary,1274,146,372,243,336,110,67
260,La Ferrière,551,61,118,99,144,75,54
261,La Heutte,479,67,142,87,116,55,12
262,Mont-Tramelan,113,13,26,12,28,15,19
263,Orvin,1191,156,360,246,252,115,62
264,Péry,1332,220,404,216,316,105,71
265,Plagne,354,57,124,48,100,25,0
266,Renan (BE),827,116,246,138,216,75,36
