,Region,average_rent,<25,25-64,65+,<25 and 25-64,<25 and 65+,25-64 and 65+,"<25, 25-64, and 65+"
0,,,,,,,,,
1,Suisse,1332.0,1096.0,1287.0,1143.0,1546.0,1346,1328.0,1604.0
2,,,,,,,,,
3,Genferseeregion,1332.0,1099.0,1251.0,1094.0,1602.0,***** 1'374,1299.0,1626.0
4,Espace Mittelland,1161.0,970.0,1125.0,1016.0,1341.0,***** 1'203,1165.0,1453.0
5,Nordwestschweiz,1321.0,1110.0,1272.0,1174.0,1531.0,***** 1'600,1300.0,1566.0
6,Zürich,1549.0,1254.0,1516.0,1343.0,1759.0,***** 1'485,1523.0,1853.0
7,Ostschweiz,1218.0,1071.0,1169.0,1075.0,1397.0,***** 1'197,1299.0,1447.0
8,Zentralschweiz,1446.0,1191.0,1412.0,1215.0,1670.0,***** 1'084,1425.0,1459.0
9,Tessin,1166.0,961.0,1107.0,1037.0,1369.0,***** 1'330,1241.0,1508.0
