,Unnamed: 0,Unnamed: 1,0–19,20–64,65 and over,Male,Female,Swiss,Foreigner,Single,Married,Widowed,Divorced,Unmarried,In a registered partnership,Partnership dissolved,Urban core,Area influenced,Area beyond
0,,,,,,,,,,,,,,,,,area,by urban cores,urban core
1,,,,,,,,,,,,,,,,,,,influence
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,Total,7870134.0,1642435.0,4898005.0,1329694.0,3877426.0,3992708.0,6103857.0,1766277.0,3385597.0,3466582.0,408691.0,599583.0,482,8887.0,312.0,4937104,1699773,1233257
5,,,,,,,,,,,,,,,,,,,
6,Lake Geneva region,1483680.0,328530.0,917572.0,237578.0,723123.0,760557.0,1018086.0,465594.0,650544.0,639083.0,72840.0,119071.0,124,1961.0,57.0,1025771,305478,152431
7,Vaud,713281.0,162732.0,438711.0,111838.0,347880.0,365401.0,492352.0,220929.0,313265.0,306944.0,34936.0,57105.0,33,971.0,27.0,448776,192059,72446
8,Valais,312684.0,66028.0,193310.0,53346.0,154458.0,158226.0,247010.0,65674.0,131427.0,142394.0,17566.0,21098.0,31,163.0,5.0,159549,73150,79985
9,Geneva,457715.0,99770.0,285551.0,72394.0,220785.0,236930.0,278724.0,178991.0,205852.0,189745.0,20338.0,40868.0,60,827.0,25.0,417446,40269,-
10,,,,,,,,,,,,,,,,,,,
11,Espace Mittelland,1755696.0,367089.0,1077321.0,311286.0,860965.0,894731.0,1474379.0,281317.0,741282.0,780238.0,100164.0,132288.0,92,1585.0,47.0,876431,466271,412994
12,Bern,979802.0,193918.0,602006.0,183878.0,477906.0,501896.0,848100.0,131702.0,412573.0,435295.0,57680.0,73298.0,53,875.0,28.0,507530,217538,254734
13,Fribourg,278493.0,66851.0,172714.0,38928.0,138602.0,139891.0,227664.0,50829.0,123256.0,122945.0,13116.0,18933.0,18,217.0,8.0,90274,116530,71689
14,Solothurn,255284.0,51688.0,158331.0,45265.0,126366.0,128918.0,204849.0,50435.0,104203.0,116317.0,14700.0,19725.0,10,325.0,4.0,153590,66365,35329
15,Neuchâtel,172085.0,38386.0,103182.0,30517.0,83589.0,88496.0,132499.0,39586.0,71841.0,74266.0,10258.0,15583.0,8,124.0,5.0,101467,52614,18004
16,Jura,70032.0,16246.0,41088.0,12698.0,34502.0,35530.0,61267.0,8765.0,29409.0,31415.0,4410.0,4749.0,3,44.0,2.0,23570,13224,33238
17,,,,,,,,,,,,,,,,,,,
18,Northwest Switzerland,1070820.0,214800.0,669113.0,186907.0,527883.0,542937.0,823746.0,247074.0,446599.0,485223.0,56205.0,81622.0,59,1071.0,41.0,705663,266141,99016
19,Basel-Stadt,184950.0,30708.0,115768.0,38474.0,88414.0,96536.0,124865.0,60085.0,82242.0,72727.0,11923.0,17645.0,21,375.0,17.0,184950,-,-
20,Basel-Landschaft,274404.0,54308.0,166600.0,53496.0,134274.0,140130.0,221413.0,52991.0,108268.0,129765.0,15301.0,20762.0,10,288.0,10.0,186712,80694,6998
21,Aargau,611466.0,129784.0,386745.0,94937.0,305195.0,306271.0,477468.0,133998.0,256089.0,282731.0,28981.0,43215.0,28,408.0,14.0,334001,185447,92018
22,,,,,,,,,,,,,,,,,,,
23,Zurich,1373068.0,270632.0,878418.0,224018.0,678784.0,694284.0,1042311.0,330757.0,606413.0,585281.0,63819.0,114456.0,84,2909.0,106.0,1057125,306466,9477
24,,,,,,,,,,,,,,,,,,,
25,Eastern Switzerland,1103641.0,236646.0,683501.0,183494.0,549514.0,554127.0,878856.0,224785.0,471448.0,492581.0,58662.0,80175.0,57,687.0,31.0,600281,184524,318836
26,Glarus,38608.0,7973.0,23764.0,6871.0,19383.0,19225.0,30731.0,7877.0,16044.0,17413.0,2471.0,2660.0,2,14.0,4.0,28788,-,9820
27,Schaffhausen,76356.0,14962.0,46577.0,14817.0,37476.0,38880.0,58705.0,17651.0,30488.0,35093.0,4692.0,6007.0,3,72.0,1.0,45128,23452,7776
28,Appenzell A. Rh.,53017.0,11509.0,32164.0,9344.0,26653.0,26364.0,45504.0,7513.0,22423.0,23597.0,2986.0,3973.0,1,35.0,2.0,15236,25285,12496
29,Appenzell I. Rh.,15688.0,3779.0,9252.0,2657.0,8047.0,7641.0,14120.0,1568.0,7364.0,6743.0,855.0,723.0,-,2.0,1.0,-,-,15688
30,St. Gallen,478907.0,105830.0,296023.0,77054.0,237858.0,241049.0,374368.0,104539.0,207230.0,212223.0,24531.0,34616.0,20,282.0,5.0,333304,61912,83691
31,Graubünden,192621.0,37591.0,120497.0,34533.0,95748.0,96873.0,160517.0,32104.0,82453.0,85959.0,10928.0,13151.0,24,98.0,8.0,62603,22030,107988
